,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
76,0.3005110263824463,0.004422905523624283,0.05541081428527832,0.008790317935871095,True,,entropy,20,log2,2,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8294573643410853,0.8294573643410853,0.8914728682170543,0.8449612403100775,0.890625,0.8571947674418604,0.02821685627166673,95,0.9133365430909965,0.9193548387096774,0.9549831487722676,0.918873375060183,0.9557132370932224,0.9324522285452694,0.01881517046324542,1,0.8428571428571429,0.8450704225352113,0.8955223880597015,0.8550724637681161,0.8955223880597015,0.8668089610559747,0.0238030283839398,93
285,0.5254050254821777,0.005515096934221167,0.08325543403625488,0.00852083761732848,False,,entropy,,log2,2,2,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8217054263565892,0.8294573643410853,0.8914728682170543,0.8449612403100775,0.890625,0.8556443798449612,0.029863242224072824,143,0.9130958112662494,0.9203177660086664,0.9564275397207511,0.9183919114106884,0.9522877416197699,0.9321041540052251,0.018369898934504133,2,0.8345323741007193,0.8450704225352113,0.8955223880597015,0.8550724637681161,0.8923076923076922,0.8645010681542882,0.024900208146134754,158
262,0.2845191955566406,0.007955931010468346,0.0553342342376709,0.008621092195964292,False,,entropy,20,auto,2,5,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8372093023255814,0.8294573643410853,0.8914728682170543,0.8449612403100775,0.8984375,0.8603076550387596,0.028795632892627626,30,0.9159845931632161,0.917308618199326,0.9583533943187289,0.9163456909003369,0.9500856373868364,0.9316155867936888,0.018645321949428972,3,0.8489208633093526,0.8428571428571429,0.8955223880597015,0.8571428571428571,0.8992248062015503,0.8687336115141209,0.023848831043687922,44
252,0.2838768005371094,0.010363279301728456,0.05412583351135254,0.000659828255367722,False,,entropy,10,log2,2,2,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8294573643410853,0.813953488372093,0.8992248062015504,0.8449612403100775,0.8828125,0.8540818798449612,0.032134632302409274,206,0.9138180067404911,0.9169475204622052,0.9578719306692345,0.9164660568127106,0.9517983851235624,0.9313803799616407,0.019276299516065756,4,0.8428571428571429,0.8285714285714286,0.9037037037037037,0.8571428571428571,0.887218045112782,0.8638986354775829,0.02780156406612608,183
351,0.6411447048187255,0.07338313267544563,0.07797956466674805,0.005891329988392983,False,balanced,entropy,10,log2,2,5,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8294573643410853,0.8217054263565892,0.8992248062015504,0.8449612403100775,0.875,0.8540697674418605,0.029028394330779514,213,0.9087626384207992,0.9200770341839192,0.9566682715454983,0.9164660568127105,0.9544898458527037,0.9312927693631263,0.020175487055394896,5,0.8428571428571429,0.8368794326241135,0.9037037037037037,0.8571428571428571,0.8787878787878788,0.8638742030231391,0.02459492758093052,186
270,0.2879782676696777,0.014474525859152269,0.05196027755737305,0.002487531213195092,False,,entropy,20,log2,2,5,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8294573643410853,0.813953488372093,0.9069767441860465,0.8449612403100775,0.875,0.8540697674418605,0.03327243400311007,213,0.9133365430909967,0.9212806933076553,0.9528165623495426,0.9200770341839192,0.9476388549057989,0.9310299375675826,0.015991142665946603,6,0.8428571428571429,0.8309859154929576,0.9104477611940298,0.8571428571428571,0.8787878787878788,0.8640443110949733,0.028142624802180743,173
357,0.600710105895996,0.006255314784515004,0.07467737197875976,0.0025035556632717875,False,balanced,entropy,20,auto,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8372093023255814,0.813953488372093,0.8992248062015504,0.8527131782945736,0.8984375,0.8603076550387596,0.03378860303071795,30,0.9123736157920077,0.9150216658642273,0.9581126624939817,0.919475204622051,0.9498409591387326,0.9309648215822002,0.019105717888089412,7,0.8489208633093526,0.8285714285714286,0.9037037037037037,0.8652482269503546,0.9022556390977443,0.8697399723265168,0.029527152610255767,28
148,0.32079482078552246,0.016576411080125593,0.0518768310546875,0.001579390192019358,True,balanced,entropy,10,auto,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8372093023255814,0.8372093023255814,0.8914728682170543,0.8294573643410853,0.8984375,0.8587572674418606,0.029772286821705414,49,0.9087626384207992,0.9176697159364468,0.9506499759268175,0.9183919114106884,0.9591387325666749,0.9309225948522852,0.02004515147208404,8,0.8489208633093526,0.851063829787234,0.8955223880597015,0.8405797101449274,0.9007633587786259,0.8673700300159682,0.025423040046911177,79
142,0.529051399230957,0.12858767356494558,0.07030315399169922,0.02255734342033686,True,balanced,gini,,log2,2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8294573643410853,0.8217054263565892,0.8914728682170543,0.8527131782945736,0.921875,0.8634447674418604,0.03797933564257293,3,0.9145402022147329,0.9181511795859413,0.9465575349061146,0.9198363023591718,0.9549792023489112,0.9308128842829742,0.016598248403778413,9,0.8428571428571429,0.8368794326241135,0.8955223880597015,0.8613138686131387,0.9242424242424243,0.8721630512793042,0.03310406162823119,6
183,0.6406373977661133,0.022439245093355768,0.07164587974548339,0.0030085286409030024,True,balanced,entropy,,auto,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8294573643410853,0.8217054263565892,0.8914728682170543,0.8527131782945736,0.8984375,0.8587572674418604,0.031345448323778245,52,0.9118921521425132,0.9150216658642273,0.9545016851227732,0.9198363023591719,0.9527770981159773,0.9308057807209327,0.018822474634522263,10,0.8428571428571429,0.8368794326241135,0.8955223880597015,0.8633093525179857,0.9037037037037037,0.8684544039525294,0.027032791349818227,50
