,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
190,0.2914687156677246,0.014522819176376572,0.03475995063781738,0.001282808176256422,True,balanced,entropy,,log2,2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.868421052631579,0.8157894736842105,0.831858407079646,0.8584070796460177,0.8761061946902655,0.8501164415463437,0.022763819015088504,377,0.9336419753086419,0.910939907550077,0.9105461393596987,0.9353421217827997,0.9613935969868175,0.9303727481976068,0.018806410040087464,1,0.8760330578512396,0.8421052631578948,0.8455284552845529,0.864406779661017,0.8813559322033898,0.8618858976316188,0.01577604928385042,360
126,0.28818349838256835,0.011286939473277878,0.03258066177368164,0.0008502799626670038,True,balanced,gini,20,log2,2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8947368421052632,0.8333333333333334,0.8141592920353983,0.8672566371681416,0.9026548672566371,0.8624281943797547,0.03423958428834971,110,0.9388888888888888,0.9090909090909091,0.9130571249215317,0.9300062774639046,0.9591964846202135,0.9300479369970895,0.018197179496035568,2,0.9016393442622951,0.8549618320610687,0.832,0.8717948717948718,0.9059829059829059,0.8732757908202282,0.02798403709457497,66
55,0.6016867637634278,0.012005962971836374,0.050692510604858396,0.0003525421094131196,True,,entropy,10,auto,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8070175438596491,0.8495575221238938,0.8584070796460177,0.8938053097345132,0.8571960875640429,0.02938643015186517,260,0.9320987654320987,0.9044684129429893,0.9174513496547394,0.9372253609541745,0.9573132454488387,0.929711426886568,0.017952928591925803,3,0.8852459016393444,0.8333333333333333,0.859504132231405,0.864406779661017,0.9,0.8684980293730199,0.02283440271343091,233
151,0.5975448608398437,0.011551375980986637,0.05275416374206543,0.0026511496812090117,True,balanced,entropy,10,auto,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8859649122807017,0.8245614035087719,0.8230088495575221,0.8672566371681416,0.9026548672566371,0.8606893339543549,0.0321500748964568,188,0.929320987654321,0.904160246533128,0.9218455743879473,0.9271814187068425,0.9610797237915882,0.9287175902147654,0.018440820650058042,4,0.894308943089431,0.8484848484848484,0.8387096774193548,0.8717948717948718,0.9059829059829059,0.8718562493542823,0.02574363426346118,107
172,0.2922410488128662,0.006484399883755347,0.03167152404785156,0.00037467990599282584,True,balanced,entropy,20,log2,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.868421052631579,0.8157894736842105,0.8407079646017699,0.8672566371681416,0.9026548672566371,0.8589659990684677,0.029204171237646313,213,0.9314814814814815,0.8983050847457626,0.9224733207784055,0.933458882611425,0.9560577526679221,0.9283553044569993,0.018659359937224177,5,0.8760330578512396,0.8396946564885496,0.8524590163934426,0.8717948717948718,0.9059829059829059,0.869192901702202,0.02261517980336242,214
56,0.2922678470611572,0.001614459990763293,0.032083320617675784,0.0007855351346954598,True,,entropy,10,log2,1,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8771929824561403,0.8157894736842105,0.8495575221238938,0.8672566371681416,0.8938053097345132,0.8607203850333798,0.026653621154747703,167,0.9342592592592593,0.8989214175654854,0.9133709981167608,0.9353421217827997,0.9595103578154425,0.9282808309079496,0.020713112035190086,6,0.8852459016393444,0.8421052631578948,0.8617886178861789,0.8717948717948718,0.8983050847457628,0.8718479478448105,0.01931478960561147,108
79,0.6183326244354248,0.08664630524946815,0.05284619331359863,0.003627254198824166,True,,entropy,20,log2,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.8407079646017699,0.8672566371681416,0.911504424778761,0.864244682502717,0.030129564563227743,52,0.937962962962963,0.8983050847457626,0.9146264908976773,0.9268675455116133,0.9635907093534212,0.9282705586942874,0.02203412990830504,7,0.8852459016393444,0.8484848484848484,0.8548387096774194,0.8717948717948718,0.9152542372881356,0.8751237137769239,0.023854179209160727,31
32,0.31129817962646483,0.025933650853899853,0.03229336738586426,0.0006354614967446306,True,,gini,,auto,1,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8859649122807017,0.8245614035087719,0.8495575221238938,0.8761061946902655,0.9203539823008849,0.8713088029809036,0.03256281221847212,1,0.9342592592592592,0.9021571648690293,0.9185499058380414,0.9243565599497803,0.9613935969868174,0.9281432973805854,0.01961957715228414,8,0.894308943089431,0.8484848484848484,0.859504132231405,0.8793103448275862,0.923076923076923,0.8809370383420388,0.026342884977568405,1
31,0.6138290882110595,0.05918095225250986,0.05296082496643066,0.0014073980061976284,True,,gini,20,log2,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8333333333333334,0.831858407079646,0.8761061946902655,0.8938053097345132,0.8607048594938673,0.024387286973939878,178,0.9290123456790124,0.9057010785824344,0.9139987445072191,0.9306340238543628,0.9610797237915882,0.9280851832829236,0.01894978534110284,9,0.8760330578512396,0.8527131782945736,0.8455284552845529,0.8813559322033898,0.8983050847457628,0.8707871416759037,0.019293136349773757,154
183,0.5982401371002197,0.017265543888029235,0.05069613456726074,0.0008123340083631553,True,balanced,entropy,,auto,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8596491228070176,0.8245614035087719,0.8407079646017699,0.8584070796460177,0.8938053097345132,0.855426176059618,0.023103839075753845,304,0.9290123456790124,0.9050847457627118,0.9152542372881356,0.933458882611425,0.9573132454488387,0.9280246913580246,0.01776316918477047,10,0.8666666666666667,0.846153846153846,0.8548387096774194,0.864406779661017,0.8983050847457628,0.8660742173809423,0.017691907635842337,296
349,0.5259113311767578,0.01121667160270194,0.0525261402130127,0.001793550306428068,False,balanced,entropy,10,log2,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8596491228070176,0.8245614035087719,0.8584070796460177,0.8761061946902655,0.9026548672566371,0.8642757335817419,0.025479373426749174,36,0.9280864197530865,0.9016949152542373,0.9234149403640929,0.9259259259259259,0.960765850596359,0.9279776103787404,0.01892558039169352,11,0.8666666666666667,0.8437499999999999,0.8688524590163935,0.8793103448275862,0.9059829059829059,0.8729124752987104,0.02020163331701368,75
61,1.071628475189209,0.2550906908435628,0.07331981658935546,0.02500391920305144,True,,entropy,10,log2,2,2,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8859649122807017,0.8157894736842105,0.831858407079646,0.8761061946902655,0.911504424778761,0.864244682502717,0.03533475679951966,52,0.9333333333333333,0.8973805855161788,0.9180790960451978,0.9331450094161958,0.9579409918392969,0.9279758032300405,0.01993664219397088,12,0.894308943089431,0.8396946564885496,0.8455284552845529,0.8813559322033898,0.9137931034482759,0.87493621810284,0.0284012567337352,37
63,0.5840332984924317,0.005746878309856376,0.052806663513183597,0.0027800128360970064,True,,entropy,10,log2,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.8407079646017699,0.8761061946902655,0.8938053097345132,0.8624747709982922,0.025672013606217042,97,0.9314814814814816,0.9007704160246534,0.9165097300690521,0.9268675455116133,0.9639045825486503,0.9279067511270902,0.020861329220651377,13,0.8852459016393444,0.846153846153846,0.8548387096774194,0.8813559322033898,0.8983050847457628,0.8731798948839524,0.01954746866274222,67
64,0.304976749420166,0.0038533546191146777,0.03738203048706055,0.004972099626743635,True,,entropy,20,auto,1,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8596491228070176,0.7982456140350878,0.8584070796460177,0.8584070796460177,0.911504424778761,0.8572426641825803,0.03587058226167257,242,0.9320987654320988,0.8916795069337442,0.9179221594475832,0.931261770244821,0.9661016949152542,0.9278127793947002,0.024082126183595606,14,0.8688524590163934,0.8270676691729323,0.8688524590163935,0.8596491228070176,0.9137931034482759,0.8676429626922026,0.027723698075136933,265
59,0.8965225219726562,0.1792929160663881,0.07622733116149902,0.025404433746830875,True,,entropy,10,log2,1,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.8495575221238938,0.8584070796460177,0.8938053097345132,0.8607048594938673,0.023678641591815305,178,0.9277777777777778,0.9035439137134053,0.916195856873823,0.9303201506591336,0.9607658505963591,0.9277207099240998,0.019058233830909994,15,0.8852459016393444,0.846153846153846,0.8617886178861789,0.864406779661017,0.8965517241379309,0.8708293738956634,0.017896045537678686,152
76,0.2928935050964355,0.009315550281467435,0.03312950134277344,0.0016288820376597992,True,,entropy,20,log2,2,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8771929824561403,0.8245614035087719,0.831858407079646,0.8672566371681416,0.9026548672566371,0.8607048594938673,0.02902776039669979,178,0.9367283950617284,0.90231124807396,0.9161958568738231,0.9278091650973007,0.9554300062774639,0.9276949342768551,0.018041125173775083,16,0.8852459016393444,0.846153846153846,0.8455284552845529,0.8717948717948718,0.9059829059829059,0.8709411961711041,0.02320988973426327,147
175,1.0679296493530273,0.07456110395647733,0.08854084014892578,0.012526323171663339,True,balanced,entropy,20,log2,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8157894736842105,0.8407079646017699,0.8672566371681416,0.9026548672566371,0.8607203850333798,0.02997283311051068,167,0.9367283950617283,0.8989214175654854,0.9183929692404269,0.9274952919020716,0.9566854990583804,0.9276447145656185,0.019165204536152957,17,0.8852459016393444,0.8396946564885496,0.8548387096774194,0.8717948717948718,0.9075630252100839,0.8718274329620538,0.023572106218700838,112
47,0.5650105953216553,0.012886411487640453,0.05155344009399414,0.0007614482283350867,True,,gini,,log2,2,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.868421052631579,0.8157894736842105,0.831858407079646,0.8672566371681416,0.8761061946902655,0.8518863530507685,0.02366578108977087,363,0.9308641975308642,0.9010785824345147,0.9118016321406152,0.9365976145637163,0.9576271186440678,0.9275938290627556,0.019729235837829956,18,0.8760330578512396,0.8421052631578948,0.8480000000000001,0.8717948717948718,0.8833333333333333,0.8642533052274679,0.016213518859404134,333
70,0.5311994075775146,0.05522650619881505,0.060726356506347653,0.009485330540765571,True,,entropy,20,auto,2,5,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.868421052631579,0.8157894736842105,0.831858407079646,0.8672566371681416,0.8938053097345132,0.855426176059618,0.02795815601460952,304,0.9320987654320987,0.901386748844376,0.9158819836785939,0.9293785310734463,0.9591964846202135,0.9275885027297457,0.01921554415190001,19,0.8760330578512396,0.8421052631578948,0.8455284552845529,0.8739495798319329,0.9,0.8675232712251241,0.02143967763290368,270
